ID, Name, Longitude, Latitude, ReviewCount, YelpStars, AreaID
1,Eric Goldberg MD,-111.983758,33.499313,9,3.5,4
2,Clancys Pub,-79.88693,40.350519,4,3.5,7
3,Cool Springs Golf Center,-80.01591,40.3568962,5,2.5,7
4,Verizon Wireless,-80.05998,40.35762,3,3.5,7
5,Emils Lounge,-79.8663507,40.408735,11,4.5,7
6,Alexions Bar & Grill,-80.067534,40.415517,15,4,7
7,Flynns E W Tire Service Center,-80.0844539,40.394588,5,1.5,7
8,Forsythe Miniature Golf & Snacks,-80.0762665,40.4054039,4,4,7
9,Quaker State Construction,-80.090357,40.406324,3,2.5,7
10,Kings Family Restaurant,-80.0928745,40.3877323,8,3.5,7
11,Shop Nsave,-80.0928745,40.3877323,3,3.5,7
12,Rockys Lounge,-80.0849416,40.3964688,5,4,7
13,Gab & Eat,-80.0847998,40.3967441,38,4.5,7
14,Barbs Country Junction Cafe,-80.089985,40.404638,5,4,7
15,Extended Stay America - Pittsburgh - Carnegie,-80.088557,40.417419,5,4,7
16,Paddys Pour House,-80.085279,40.40867,6,3.5,7
17,Porto Fino Pizzaria & Gyro,-80.0849924,40.4085677,4,2.5,7
18,Alteration World,-80.08606,40.4078889,5,5,7
19,Long John Silvers,-80.0937037,40.3868915,3,3.5,7
20,Weinberg Lisa DMD,-80.078657,40.39076,6,2,7
21,Don Don Chinese Restaurant,-80.084861,40.408343,8,2.5,7
22,Dennys,-80.073426,40.391255,7,4,7
23,Amerifit,-80.060154,40.394305,5,2.5,7
24,Papa Js,-80.0854582,40.4082572,46,3.5,7
25,Emmert Dental Associates,-80.0889587402344,40.4704573375885,3,1,7
26,McDonalds,-79.910032,40.412086,5,2,7
27,Eatn Park Hospitality Group,-79.9123428,40.4116918,3,2.5,7
28,Starbucks,-79.916958,40.407091,16,3.5,7
29,Michaels,-79.9037778,40.4140637,8,3,7
30,Steak n Shake,-79.9044562,40.413496,36,2,7
31,Filenes Basement,-79.9124082,40.4116978,6,4,7
32,Sing Sing,-79.9151108,40.4094884,25,3.5,7
33,Joe Dilorios Auto Body Shop,-79.912788,40.40682,9,4.5,7
34,Lowes,-79.90155,40.4131349,6,2.5,7
35,Dukes Upper Deck Cafe,-79.912595,40.405311,16,3.5,7
36,Dave & Busters,-79.9140822,40.4097113,52,3,7
37,Rock Bottom,-79.9151108,40.4094884,94,3.5,7
38,Improv Comedy Club,-79.914897,40.409092,34,3,7
39,Giant Eagle,-79.90877,40.411484,22,3.5,7
40,Barnes & Noble Booksellers,-79.9158762,40.4083798,10,3.5,7
41,Bar Louie,-79.917508,40.4070709,46,2.5,7
42,Sandcastle Water Park,-79.9337369,40.395691,13,3,7
43,American Buyers Discount Mattress Store,-79.9073564,40.4089932,3,5,7
44,First Class Limousine Service,-79.904308,40.4027249,9,4.5,7
45,The Dragon Chinese Cuisine,-79.9028194,40.3867759,4,2.5,7
