Zip,Latitude,Longitude,Density
601,18.180103,-66.74947,0
602,18.363285,-67.18024,0
603,18.448619,-67.13422,0
604,18.498987,-67.13699,0
605,18.465162,-67.141486,0
606,18.182151,-66.9588,0
607,18.256995,-66.104657,0
609,18.142002,-66.273278,0
610,18.288319,-67.13604,0
611,18.279531,-66.80217,0
612,18.449732,-66.69879,0
613,18.458093,-66.732732,0
614,18.429675,-66.674506,0
615,17.96977,-66.061459,0
616,18.426748,-66.67669,0
617,18.455499,-66.55575,0
618,18.185463,-66.305827,0
622,18.003125,-67.16745,0
623,18.08643,-67.15222,0
624,18.055399,-66.72602,0
625,18.232109,-66.039087,0
626,18.235003,-66.037318,0
627,18.435246,-66.85644,0
631,18.186739,-66.85174,0
633,18.194527,-66.183467,0
634,18.111528,-66.177083,0
635,18.262902,-65.646529,0
636,18.113284,-67.039706,0
637,18.073078,-66.94864,0
638,18.308139,-66.49835,0
639,18.176094,-66.158728,0
640,18.077197,-66.359104,0
641,18.268896,-66.70519,0
643,18.341254,-66.315194,0
644,18.049577,-66.55218,0
645,18.308508,-65.304732,0
646,18.442798,-66.27689,0
647,17.964529,-66.93993,0
648,18.333038,-65.656182,0
650,18.363331,-66.56773,0
652,18.457453,-66.61217,0
653,17.992112,-66.90097,0
654,17.979518,-66.117219,0
655,17.976371,-66.116795,0
656,18.038866,-66.79168,0
658,18.254137,-65.973605,0
659,18.432956,-66.80039,0
660,18.139108,-67.12085,0
661,18.150829,-65.826595,0
662,18.478855,-67.01973,0
664,18.212565,-66.59243,0
665,18.044224,-66.502103,0
666,18.228952,-65.921356,0
667,18.017819,-67.04226,0
669,18.288418,-66.87503,0
670,18.241343,-66.97604,0
671,18.1789,-65.869939,0
674,18.426137,-66.48697,0
676,18.37956,-67.08424,0
677,18.336121,-67.23675,0
678,18.442334,-66.93275,0
680,18.205232,-67.12655,0
681,18.219023,-67.508068,0
682,18.208402,-67.15428,0
683,18.092807,-67.04524,0
685,18.332595,-66.98104,0
687,18.31708,-66.41528,0
688,18.40415,-66.61348,0
690,18.495369,-67.09867,0
692,18.419666,-66.33186,0
693,18.440667,-66.3921,0
694,18.443109,-66.398302,0
698,18.06547,-66.85587,0
703,18.246205,-66.12827,0
704,17.970112,-66.22291,0
705,18.12942,-66.26541,0
707,18.014505,-65.91018,0
714,17.987288,-66.05552,0
715,18.003492,-66.55868,0
716,17.999066,-66.59965,0
717,18.004303,-66.61374,0
718,18.22048,-65.74293,0
719,18.294571,-66.25098,0
720,18.217827,-66.42265,0
721,18.364161,-65.778288,0
723,18.023196,-66.0131,0
725,18.233927,-66.04502,0
726,18.212965,-66.058033,0
728,18.013353,-66.65218,0
729,18.35615,-65.89089,0
730,18.022626,-66.61727,0
731,18.077329,-66.61192,0
732,18.021781,-66.613742,0
733,18.019331,-66.619165,0
734,17.999499,-66.643934,0
735,18.258444,-65.65987,0
736,18.112895,-66.15377,0
737,18.102967,-66.139274,0
738,18.32265,-65.66116,0
739,18.16984,-66.16271,0
740,18.331711,-65.62761,0
741,18.160755,-65.75765,0
742,18.264872,-65.594769,0
744,18.206329,-65.743058,0
745,18.366213,-65.82277,0
747,18.069474,-66.952589,0
748,18.326732,-65.652484,0
751,17.993803,-66.26534,0
752,18.493745,-67.097726,0
754,18.15633,-65.96831,0
757,17.98631,-66.39457,0
761,18.265445,-66.702364,0
762,18.420218,-66.324284,0
763,18.452175,-66.399836,0
764,18.452084,-66.397138,0
765,18.125664,-65.45603,0
766,18.126023,-66.48208,0
767,18.072752,-65.89703,0
768,18.030715,-66.856181,0
769,18.092813,-66.3611,0
771,18.18744,-65.87088,0
772,18.427674,-65.87605,0
773,18.361344,-65.72133,0
775,18.311149,-65.29257,0
777,18.224088,-65.91316,0
778,18.258628,-65.97791,0
780,18.068538,-66.55939,0
782,18.223348,-66.2267,0
783,18.304874,-66.32305,0
784,17.984137,-66.12779,0
785,18.018822,-66.795603,0
786,18.128092,-66.268717,0
791,18.147257,-65.82269,0
792,18.138029,-65.788499,0
794,18.204294,-66.31058,0
795,18.036253,-66.50289,0
801,18.322285,-64.963715,0
802,18.322285,-64.963715,0
803,18.322285,-64.963715,0
804,18.322285,-64.963715,0
805,18.322285,-64.963715,0
820,17.734211,-64.734694,0
821,17.734211,-64.734694,0
822,17.734211,-64.734694,0
823,17.734211,-64.734694,0
824,17.734211,-64.734694,0
830,18.32816,-64.740737,0
831,18.32816,-64.740737,0
840,17.734211,-64.734694,0
841,17.734211,-64.734694,0
850,17.734211,-64.734694,0
851,17.734211,-64.734694,0
901,18.465426,-66.10786,0
902,18.410462,-66.060533,0
906,18.46454,-66.10079,0
907,18.451131,-66.07798,0
908,18.410462,-66.060533,0
909,18.442282,-66.06764,0
910,18.410462,-66.060533,0
911,18.45009,-66.0577,0
912,18.445946,-66.05928,0
913,18.450907,-66.04256,0
914,18.410462,-66.060533,0
915,18.436995,-66.04888,0
916,18.410462,-66.060533,0
917,18.422263,-66.0513,0
918,18.417668,-66.06494,0
919,18.410462,-66.060533,0
920,18.41242,-66.09069,0
921,18.394019,-66.08633,0
922,18.410462,-66.060533,0
923,18.410681,-66.03806,0
924,18.401917,-66.01194,0
925,18.400006,-66.05028,0
926,18.361363,-66.0562,0
927,18.39184,-66.06867,0
928,18.410462,-66.060533,0
929,18.410462,-66.060533,0
930,18.410462,-66.060533,0
931,18.410462,-66.060533,0
933,18.410462,-66.060533,0
934,18.413511,-66.12198,0
935,18.410462,-66.060533,0
936,18.410462,-66.060533,0
937,18.410462,-66.060533,0
938,18.410462,-66.060533,0
939,18.410462,-66.060533,0
940,18.410462,-66.060533,0
949,18.433173,-66.2042,0
950,18.457761,-66.196503,0
951,18.457761,-66.196503,0
952,18.429218,-66.18014,0
953,18.36802,-66.23414,0
954,18.358939,-66.258108,0
955,18.410462,-66.060533,0
956,18.34216,-66.16643,0
957,18.369674,-66.18669,0
958,18.34487,-66.166014,0
959,18.387063,-66.15943,0
960,18.34487,-66.166014,0
961,18.412462,-66.16033,0
962,18.437683,-66.13847,0
963,18.443217,-66.139293,0
965,18.431453,-66.11703,0
966,18.398507,-66.11522,0
968,18.408479,-66.1025,0
969,18.366981,-66.10889,0
970,18.359143,-66.112295,0
971,18.329688,-66.11876,0
975,18.410462,-66.060533,0
976,18.346767,-66.00561,0
977,18.337004,-65.990099,0
978,18.337004,-65.990099,0
979,18.431885,-66.0127,0
981,18.410462,-66.060533,0
982,18.409345,-65.99313,0
983,18.414408,-65.97582,0
984,18.393355,-65.972495,0
985,18.374896,-65.94691,0
986,18.393355,-65.972495,0
987,18.372228,-65.96275,0
988,18.393355,-65.972495,0
1199,42.119943,-72.604983,0
2203,42.361485,-71.060364,0
2204,42.338947,-70.919635,0
2205,42.350334,-71.053877,0
2206,42.338947,-70.919635,0
2207,42.338947,-70.919635,0
2208,42.338947,-70.919635,0
2209,42.338947,-70.919635,0
5481,44.824855,-72.895849,0
6020,41.864597,-72.91003,0
6059,41.937513,-72.92017,0
6160,41.766499,-72.693337,0
6161,41.766049,-72.671837,0
6167,41.791776,-72.718832,0
6176,41.791776,-72.718832,0
6180,41.791776,-72.718832,0
6183,41.763849,-72.673037,0
6199,41.927447,-72.680386,0
7495,40.948054,-74.083231,0
7498,40.948054,-74.083231,0
10020,40.758667,-73.98024,0
10110,40.753987,-73.980811,0
10111,40.759235,-73.97775,0
10112,40.759291,-73.97979,0
